attrib1,attrib2,attrib3,class
7.308782,4.100808,2.077148,1
8.052278,0.050252,5.231352,0
5.771003,2.049135,6.233638,0
0.012986,6.835265,4.862596,0
6.588672,7.107396,1.527362,1
8.456557,4.065408,9.498398,0
9.398654,9.471949,9.370821,1
9.139629,1.593396,3.690026,1
1.159671,7.705359,6.598927,1
7.616747,6.239725,8.79263,1
2.28802,9.918821,5.862484,0
2.067375,3.746495,4.633498,0
2.907322,0.514484,1.835402,0
1.166703,1.368305,5.460894,0
1.396138,5.965788,9.472602,0
7.0501,2.750299,0.753878,1
0.634492,5.908698,2.840092,0
0.73026,0.740479,6.799354,0
3.533392,1.54975,3.667713,0
0.244721,4.510085,3.691343,0
1.310681,0.420465,8.242939,0
5.403971,9.73834,2.454266,1
0.083517,5.46374,8.3552,0
2.559627,2.413356,4.242532,0
8.899088,0.383269,5.923792,1
5.47224,0.754076,6.511447,0
4.496849,2.678979,9.478478,0
1.302219,2.344741,6.560824,0
0.993213,6.798073,4.161747,0
0.743614,6.091411,1.786624,0
3.489814,0.530935,6.061902,0
6.961129,0.948774,9.588081,0
8.717937,0.517525,7.261926,0
2.264571,4.613744,9.307335,0
5.670332,3.709959,9.341456,0
5.499313,4.547299,7.26118,0
6.304049,9.09584,5.076599,1
5.192355,2.020534,3.459391,0
3.057186,4.715445,3.461688,0
6.432766,0.678005,6.027195,0
0.017997,2.62587,3.207672,0
7.803626,3.629299,7.821059,0
9.624146,2.094927,1.726488,1
2.621709,3.937108,9.658499,0
0.070502,2.374182,3.620937,0
4.072297,2.713869,0.884104,0
4.720549,0.806527,5.389939,0
0.43435,2.791237,7.76811,0
8.011571,1.098411,5.187869,1
4.379751,2.791973,4.478554,0
4.437553,0.183963,9.592077,0
0.69873,6.259561,8.970781,0
0.92116,4.264645,2.102845,0
4.503831,4.272329,5.193948,0
1.610311,2.864314,4.259272,0
6.990066,2.046356,2.549095,1
3.876403,0.059132,9.081138,0
1.743711,6.995916,9.289719,1
