att1,att2,att3,att4,class
0.947195,0.937082,0.397174,0.347518,0
0.730878,0.410081,0.207715,0.332717,1
0.967756,0.006117,0.963705,0.939865,1
0.659893,0.156747,0.378202,0.139763,1
0.294057,0.506484,0.115967,0.770536,0
0.743984,0.142023,0.481728,0.544555,1
0.694948,0.805228,0.005025,0.523135,0
0.010684,0.161043,0.178055,0.540397,0
0.592379,0.655174,0.119839,0.652477,0
0.33361,0.443212,0.504136,0.998981,0
0.5771,0.204914,0.623364,0.184707,1
0.973834,0.245427,0.394521,0.217602,1
0.432007,0.233156,0.889909,0.038327,1
0.984323,0.206738,0.37465,0.46335,1
0.428784,0.308093,0.717322,0.962415,1
0.630405,0.909584,0.50766,0.491451,0
0.209493,0.172649,0.548953,0.555468,1
0.616951,0.481862,0.09975,0.617146,1
0.679935,0.280002,0.603984,0.849641,1
0.74425,0.423233,0.375808,0.271293,1
0.315423,0.024472,0.451009,0.369134,1
0.587816,0.789191,0.699007,0.204636,0
0.463838,0.177243,0.676123,0.715572,1
0.157631,0.042179,0.378623,0.786609,1
0.254909,0.777916,0.225022,0.983103,0
0.712752,0.110274,0.762133,0.030069,1
0.743762,0.365306,0.763755,0.322669,1
0.512719,0.478676,0.131169,0.031796,1
0.656082,0.57223,0.555967,0.250296,1
0.920281,0.723751,0.776991,0.242276,1
0.637947,0.303367,0.065397,0.938031,1
0.266417,0.229171,0.303976,0.371941,1
0.178662,0.029633,0.708154,0.277778,1
0.348981,0.053093,0.60619,0.681526,1
0.583743,0.369752,0.945992,0.686431,1
0.658894,0.315918,0.81577,0.155579,1
0.803619,0.836315,0.163104,0.637497,0
0.453404,0.319708,0.549693,0.522259,1
0.129678,0.023599,0.084721,0.052321,1
0.272886,0.011229,0.794023,0.100375,1
0.766033,0.208782,0.945102,0.027574,1
0.746923,0.636326,0.938539,0.093859,1
0.00876,0.63119,0.207978,0.880357,0
0.959682,0.81878,0.21481,0.833772,1
0.461383,0.11964,0.510583,0.742931,1
0.879977,0.06046,0.071766,0.229253,1
0.961182,0.238113,0.453188,0.481088,1
0.798918,0.349781,0.129969,0.891994,1
0.707044,0.723372,0.509493,0.987102,0
0.431965,0.129873,0.669616,0.517706,1
0.851922,0.049134,0.889826,0.027663,1
0.611949,0.290077,0.081628,0.771469,1
0.884465,0.657482,0.643277,0.067801,1
0.60272,0.552196,0.530531,0.912981,1
0.581983,0.447722,0.413509,0.465612,1
